날짜,토론,label
2020.12.01 09:33,12월 10일까지 개깁시다,1 
2020.12.01 09:23,골드양말,
2020.12.01 09:20,옆동네 네이버는 쭉쭉가는데~~,1 
2020.12.01 09:20,12월 10일까지 개겨라,1 
2020.12.01 09:20,요즘같은 장에 너무 재미없네..,0 
2020.12.01 09:17,카카오 사면 성질 버린다.,1 
2020.12.01 09:17,12월 10일까진 그냥 개겨라,1 
2020.12.01 09:13,네이버 주주가 카카오 주주에게,
2020.12.01 09:13,아침장에 부지런히 올려라,1 
2020.12.01 09:12,착하게 살게요.. ㅠ,
2020.12.01 09:11,카카오 버리고 셀트리온 갔다..,0 
2020.12.01 09:10,너무하네,0 
2020.12.01 09:01,12만원에 보온병 1마리 세워 놨는데 왜 이리 체결이 안되냐 ???,0 
2020.12.01 08:59,이번주 얼마까지 떨어질까요?,0 
2020.12.01 07:59,새집' 맞아 축제 열린 북한 황해북도 금천군,
2020.12.01 06:47,모더나긴급승인,
2020.12.01 06:04,"누군가의 카카오, 어디까지 가봤니?",
2020.12.01 05:48,"영업이익(률)과 흑자(률),pbr로 주가 변동추이 살펴보기~",
2020.12.01 05:16,이거때문에 떨어지냐?,0 
2020.12.01 03:56,진중권 서민 이기생충들 박멸해야 주가오른다,0 
2020.12.01 03:56,진중권 서민 이기생충들 박멸해야 주가오른다,0 
2020.12.01 00:59,10월 15일(목) 저녁 9시!#도굴,
2020.12.01 00:28,11월 30일 디테일 시황 분석,
2020.12.01 00:12,카카오페이 상장가치 10조원 입니다 안녕하세요,1 
2020.11.30 23:48,오늘 파란불 너무 우울 ㅋ,0 
2020.11.30 23:45,화이자 사기극에 세계 최대 규모의 경제 추락,0 
2020.11.30 23:25,금일 투자자별 매수순위 정리,
2020.11.30 23:20,카카오 오늘 주가 하락 이유,0 
2020.11.30 23:18,유대금융자본의 행방,0 
2020.11.30 22:47,카카오 이거..실화인가요?,
2020.11.30 21:42,오늘 매수한 분을 전 시인이라부르겠습니다 ㆍ,
2020.11.30 21:16,"진짜라니까,,,2010년 로또도 관여했어,,,,주님 밝히기 프로젝트",
2020.11.30 21:07,낼 카카오 외국인들,
2020.11.30 20:55,가더라도 셀트리온처럼 폭락하고 가지,0 
2020.11.30 20:51,12월 10일까진 버텨라,0 
2020.11.30 20:42,ㅋㅋㅋㅋ 종토방보니까,
2020.11.30 20:25,차트 좋아.. 그림 좋아..,1 
2020.11.30 20:17,내가 그녀(영화배우)카페에서 2010년 9월 20일였냐?,
2020.11.30 20:04,"노아의 홍수 아니?^^,,,,2010년 9월21일 서울대홍수",
2020.11.30 19:55,"젊은 여자의사 진짜라니까^^,,,,,지금은 내가 안가",
2020.11.30 19:46,김부장이...카카오선물하기로 빼빼로를 처음 보냈답니다.,
2020.11.30 19:39,카카오 사면 성격 버린다.,0 
2020.11.30 19:26,역시 카카오 개 쳐 물려있지만 주주로서 행복하다.,1 
2020.11.30 19:41,역시 카카오 개 쳐 물려있지만 주주로서 행복하다.,1 
2020.11.30 19:06,지금이 마지막 기회다,
2020.11.30 19:03,내일은,
2020.11.30 18:46,오 저점이 조금씩 올라간다,
2020.11.30 18:43,한국증시,
2020.11.30 18:37,무주택 실수요자 중심 주택청약개선 국민청원,
2020.11.30 18:01,시간외,
2020.11.30 17:47,리얼리? 저도 다시 입성했습니다..,1 
2020.11.30 17:45,시간외 상,1 
2020.11.30 17:29,유앵두 한전 그렇게 떠들더니 방송 안하네,
2020.11.30 16:54,삼전,
2020.11.30 16:53,여기 그래,
2020.11.30 16:36,오늘 다시 입성했습니다,1 
2020.11.30 16:00,"400,000 원에 10,000,000 주만 사 두거라",1 
2020.11.30 15:48,리얼리? 오늘도 고생하셨습니다!!,
2020.11.30 15:43,☆☆《카카오》마감시황《속보》 ☆☆,
2020.11.30 15:42,어휴 카카오 잘버틴거냐,1 
2020.11.30 15:39,방금 36.8만에 샀는데 잘 산거냐?,1 
2020.11.30 15:32,와 코스피 막판 급락,0 
2020.11.30 15:02,어휴,
2020.11.30 14:54,꼭대기에서 처물리지 말고,
2020.11.30 14:53,유영두말믿고 카카오샀냐?,
2020.11.30 14:50,누가 외국인이랑 기관좀 유혹해봐,
2020.11.30 14:50,카카오 탓하지마라 ㄷㅅ들아,
2020.11.30 14:46,오늘부터,
2020.11.30 14:42,평단가 40만이신분들 (필독),
2020.11.30 14:42,지독하게 누르네. 그냥 40만 가서 놀아도 되겟고만.,0 
2020.11.30 14:29,여기 대표님들은 주가 신경안씁니까?,0 
2020.11.30 14:28,38층만 올라가주라...,
2020.11.30 14:21,개인들은 스마트해졌는데 개관들은 거꾸로발전하는이유는?,0 
2020.11.30 14:18,앵두 옆에 아줌마 2명 모시고,
2020.11.30 14:12,네이버 카카오 줌인터넷,
2020.11.30 14:12,개카오 시키들 밥도먹지말고 일해라,
2020.11.30 14:12,카카오 이번녀도 전망,
2020.11.30 14:04,앵두방송키면 하락장임,
2020.11.30 13:52,내일은 흑삼병 예상,
2020.11.30 13:50,카카오 대장 47 본다,1 
2020.11.30 13:49,웬지,
2020.11.30 13:45,그림조타,
2020.11.30 13:45,영두 앵두 자두 구두 만두 방송 15분 전,
2020.11.30 13:31,드디어 그분께서 라이브 켜신단다,
2020.11.30 13:24,이젠,
2020.11.30 13:17,힘을 내,1 
2020.11.30 13:12,네이버보다 더잡주,0 
2020.11.30 12:56,역시 하락시 추가매수는 항상 옳다,1 
2020.11.30 12:39,카카오 와..이런.대박,
2020.11.30 12:10,요번주는,
2020.11.30 12:31,"난, 윤석열이 대통령이 되어서",
2020.11.30 11:45,폭락 나와서 개미털어야 간다,0 
2020.11.30 11:34,쓰레오.,
2020.11.30 11:34,공매도 금지기간 끝나면 공매도 제1 타켓은,
2020.11.30 11:25,보통상식으로 ㅡ,
2020.11.30 11:19,이번 하락 랠리에서는,
2020.11.30 11:17,유대인이 좋아 한다더니~?,0 
2020.11.30 11:09,안올라도 상관없다했다,1 
2020.11.30 11:08,셀트3인방,
2020.11.30 11:03,운전솜씨가 대박이군,
2020.11.30 10:55,37층인데 진짜 징하다,0 
2020.11.30 10:40,너는 다 계획이 있구나,
2020.11.30 10:39,이거 배당금 한주당 얼마?,
2020.11.30 10:37,눈이있으면 봐라,
2020.11.30 10:35,다 같이 지옥가자,0 
2020.11.30 10:28,너네 여기 계속있다간,
2020.11.30 10:26,거래량 없이 떨어지면,
2020.11.30 10:23,희망회로끝!,
2020.11.30 10:20,이거 어떻게 해야됨?,
2020.11.30 10:17,셀트 오늘 역전가능?,
2020.11.30 10:17,이미 5일선이 무너졌다!,
2020.11.30 10:12,엥두가 셀트매도하라해서 샀더니,
2020.11.30 10:10,사람들 참 희안해,
2020.11.30 10:09,평단 34 는 안팔아요,1 
2020.11.30 10:06,앵두 평단가 37만원,
2020.11.30 09:53,오후에는 더 빠질 듯,0 
2020.11.30 09:52,카카오,
2020.11.30 09:45,여기서 뭐하냐?? 앵두 때문애..,
2020.11.30 09:43,무슨 호재가 터져야...38선을 뚫을고...37선이가? ㅋㅋ,0 
2020.11.30 09:34,진짜 개카오 + 앵두,0 
2020.11.30 09:33,개관,0 
2020.11.30 09:32,카카오는 계속 쉽니다 바디프렌~,0 
2020.11.30 09:32,외국인들의 매도 행진이,0 
2020.11.30 09:31,백신은 카카오 사망선고,0 
2020.11.30 09:27,셀리리온 팔고 카카오 간 사람들에게,
2020.11.30 09:24,다우지수 개폭락중 ㄷㄷ 300포빠짐 ㅋㅋㅋ,0 
2020.11.30 09:24,여기까지가 끝인가보오,0 
2020.11.30 09:24,현대차가 빠르겠다 난 손절,0 
2020.11.30 09:23,코스피는 신고가를 치는데...카카오는 달리지를 않네. ㅋㅋ,0 
2020.11.30 09:22,영두회장 믿고 가보자,
2020.11.30 09:22,아이고 까까오ㅠㅠ,0 
2020.11.30 09:16,역시 이 주식은 개미들의 무덤,0 
2020.11.30 09:13,셀트랑 가격차이바뀌냐!,0 
2020.11.30 09:09,내가 말했지?,
2020.11.30 09:06,지금 대한해운,
2020.11.30 09:02,네이버 동생은 올라가는데,0 
2020.11.30 08:53,오늘은 네이버가 이길 듯,0 
2020.11.30 08:50,경남제약 조류독감 대장,
2020.11.30 07:37,떡상 가즈ㅏㅏ아,1 
2020.11.30 07:10,공매도 재개,0 
2020.11.30 07:10,공매도 재개,0 
2020.11.30 06:38,포스코ICT.안면인식솔루션 *페이스로*,
2020.11.30 05:43,12/8 일홍콩에 상장되는 jd헬쓰케어 ipo 자금,
2020.11.30 03:01,카카오 인적분할,
2020.11.30 01:35,11월 29일 디테일 시황 분석,
2020.11.30 00:14,한번 휘청하고 갈듯,1 
2020.11.29 21:23,카겜에 이어 내년 IPO,
2020.11.29 21:05,길거리보행흡연은 타인에게피해을 줍니다 쓰레기짓 역겨운 민폐덩어리들아,
2020.11.29 20:55,"월욜, 국제구리가격 상승에 따른 급등 예상 종목 1선",
2020.11.29 20:51,"공매도는 이성,,,,,또 그래야 개미가 돈을 벌고,,,",
2020.11.29 20:44,공매도 영원한 폐지 청원 동참해주세여!!!,
2020.11.29 20:07,공매도 절대 반대 댓글달아 주세요,
2020.11.29 19:11,월욜 저평가 종목중 급등예상 종목 1선,
2020.11.29 19:05,"임모충은 나이가 있어도,,,,차분하거나 지혜로운 경향은 없어",
2020.11.29 18:42,다음대통령은 홍석현인가 윤석렬인가,
