날짜,요일,시간,,토론,긍부정여부,예측한 날,2,1
2020년 8월 31일 월요일,월요일,23,41,낼 카카오 오를듯 아마존 급등중..,1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,23,23,낼은 초장부터 갭상승해서 그대로 간다!,1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,23,0,상승,1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,22,21,차트 보세요..계속 간다잖어요 ㅋㅋㅋ,1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,22,7,이 개잡주도 여기까지군요,0,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,22,2,네이버 선방까고 카카오 따라가는 경우 많음.,1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,22,0,"(홍보) 제2의 비트코인 ""파이코인""을 아시나요?",0,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,21,32,"떨린다, 내일 카카오 게임즈 공모가 경쟁율",1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,21,1,안팔고 뭐해,0,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,21,0,주식판은 어디든 마찬가지구만,1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,21,0,안팔고 뭐해,0,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,20,39,"낼,43만원되요!",1,2020년 9월 1일 화요일,,
2020년 8월 31일 월요일,월요일,20,7,내일부터 폭락각인데 호그찬티들 일색이구나,0,2020년 9월 1일 화요일,,
2020년 9월 1일 화요일,화요일,23,59,인생을 국거리 장단처럼 살면 안돼 ....^^,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,23,49,고점 매도 하길 진짜 잘했네,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,23,37,이거 액분 이슈있나요?,1,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,22,56,미국나스닥,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,22,35,탈출각,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,22,19,앞으로,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,22,14,카오,0,2020년 9월 2일 수요일,,
2020년 9월 1일 화요일,화요일,21,54,카카오게임,0,2020년 9월 2일 수요일,,
